batch_id,total_matches,time_spent_seconds,hard_codedv1,hard_codedv2,hard_codedv3,MCTS,hard_codedv4
HARD_CODEDv4 with n_actions = 10,10,321,0,0,1,0,9
HARD_CODEDv4 with n_actions = 20,10,281,0,0,2,0,8
HARD_CODEDv4 with n_actions = 30,10,280,0,0,0,0,10
HARD_CODEDv4 with n_actions = 40,10,307,0,0,0,0,10
HARD_CODEDv4 with n_actions = 50,10,429,0,0,1,0,9
HARD_CODEDv4 with n_actions = 60,10,392,0,0,0,0,10
HARD_CODEDv4 with n_actions = 70,10,634,0,0,1,0,9
HARD_CODEDv4 with n_actions = 80,10,368,0,0,0,0,10
HARD_CODEDv4 with n_actions = 90,10,434,0,0,0,0,10
HARD_CODEDv4 with n_actions = 100,10,448,0,0,1,0,9
HARD_CODEDv4 with n_actions = 110,10,709,0,0,0,0,10
HARD_CODEDv4 with n_actions = 120,10,510,0,0,0,0,10
HARD_CODEDv4 with n_actions = 130,10,522,0,0,0,0,10
HARD_CODEDv4 with n_actions = 140,100,8752,0,0,1,0,99
HARD_CODEDv4 with n_actions = 150,100,9497,0,0,1,0,99
HARD_CODEDv4 with n_actions = 160,100,6615,0,0,2,0,98
HARD_CODEDv4 with n_actions = 170,100,7205,0,0,1,0,99
HARD_CODEDv4 with n_actions = 180,100,6604,0,0,0,0,100
15,100,2774,0,0,10,0,90, n_actions = 10
17,10,12335,0,0,2,8,0,   n_actions=15 uct_search_budget=49
20,10,21981,0,0,1,9,0,   n_actions=25 uct_search_budget=80
